Post_Date,Neighborhood,Price,Title,Url,Bedroom,sqft
2022-08-18 14:29:00,Huge Windows~ Spacious Windows~ Paramount~ Cap Hill,2395.0,Spacios studio with floor to ceiling windows available NOW!,https://seattle.craigslist.org/see/apa/d/seattle-spacios-studio-with-floor-to/7520526585.html,,555.0
2022-08-18 14:29:00,"337 Ne 103Rd Street Seattle, Wa",2195.0,🌲 Tranquil Creekside Studio!,https://seattle.craigslist.org/see/apa/d/seattle-tranquil-creekside-studio/7523097953.html,,605.0
2022-08-18 14:28:00,"1208 Pine St Seattle, Wa #517",2250.0,Sip your morning coffee from this perfect balcony!,https://seattle.craigslist.org/see/apa/d/seattle-sip-your-morning-coffee-from/7520272077.html,1.0,542.0
2022-08-18 14:28:00,Rooftop- Gym- Seattle,1695.0,Spacious Studio available now on Capitol Hill!,https://seattle.craigslist.org/see/apa/d/seattle-spacious-studio-available-now/7520302288.html,,485.0
2022-08-18 14:27:00,"1208 Pine St Seattle, Wa",2695.0,4 weeks free on this 7th floor 1x1 with Large windows & Balcony!,https://seattle.craigslist.org/see/apa/d/seattle-weeks-free-on-this-7th-floor/7522255483.html,1.0,542.0
2022-08-18 14:27:00,Capitol Hill- Paramount Theater- Seattle,2495.0,Spacious 1x1 with lots of windows!,https://seattle.craigslist.org/see/apa/d/seattle-spacious-1x1-with-lots-of/7520642280.html,1.0,693.0
2022-08-18 14:27:00,Capitol Hill ~ Downtown ~ Seattle,2795.0,First month on US! Tour our brand new capitol hill location TODAY!,https://seattle.craigslist.org/see/apa/d/seattle-first-month-on-us-tour-our/7519815691.html,1.0,589.0
2022-08-18 14:27:00,Capitol Hill~ Downtown~ Paramount Theater ~ Seattle,2495.0,700 SF Large 1x1 with the best natural lighting! Tour Today #622,https://seattle.craigslist.org/see/apa/d/seattle-700-sf-large-1x1-with-the-best/7519736672.html,1.0,693.0
2022-08-18 14:27:00,4 Weeks Free! Top Floor Studio! Capitol Hill,2395.0,Extra tall ceilings and city view with this beautiful brand new studio,https://seattle.craigslist.org/see/apa/d/seattle-extra-tall-ceilings-and-city/7521072198.html,,485.0
2022-08-18 14:26:00,Capitol Hill,2100.0,Spacious Studio With Patio! #413 4 WEEKS FREE,https://seattle.craigslist.org/see/apa/d/seattle-spacious-studio-with-patio/7521074716.html,,463.0
2022-08-18 14:26:00,Seattle,2620.0,Beautiful One Bedroom in the Heart of Seattle! Water Views!,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-one-bedroom-in-the/7523098414.html,1.0,705.0
2022-08-18 14:26:00,4 Weeks Free,2195.0,Make your move into the big city! Move to Capitol Hill today!🌆 #610,https://seattle.craigslist.org/see/apa/d/seattle-make-your-move-into-the-big/7521080256.html,,554.0
2022-08-18 14:25:00,Greenlake,4795.0,Greenlake area 6 bed 3 bath home 2 Kitchens 2 Laundry,https://seattle.craigslist.org/see/apa/d/seattle-greenlake-area-bed-bath-home/7517694276.html,6.0,3000.0
